================== Tensiones IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Magnitud de longitud: m 

Número de elementos: 1294 

Sigma_lin = N_lin/A  

------------------------- 
 Tensiones (kN/m^2)              
------------------------- 
| Elem |    Sigma_lin   | 
|  710 |    1.14e+004   |
|  711 |   -4.94e+004   |
|  712 |   -4.94e+004   |
|  713 |    2.75e+004   |
|  714 |    2.75e+004   |
|  715 |   -1.70e+005   |
|  716 |    6.76e+004   |
|  717 |    9.18e+004   |
|  718 |   -3.79e+004   |
|  719 |    4.14e+003   |
|  720 |    2.23e+004   |
|  721 |    2.23e+004   |
|  722 |   -1.66e+004   |
|  723 |    1.36e+004   |
|  724 |   -6.01e+004   |
|  725 |   -6.01e+004   |
|  726 |    9.48e+003   |
|  727 |    9.48e+003   |
|  728 |   -1.50e+005   |
|  729 |    5.35e+004   |
|  730 |    7.96e+004   |
|  731 |   -3.40e+004   |
|  732 |    1.12e+004   |
|  733 |    2.18e+004   |
|  734 |    2.18e+004   |
|  735 |   -2.89e+004   |
|  736 |    1.22e+003   |
|  737 |   -4.49e+004   |
|  738 |   -4.49e+004   |
|  739 |    1.05e+004   |
|  740 |    1.05e+004   |
|  741 |   -1.33e+005   |
|  742 |    4.71e+004   |
|  743 |    6.15e+004   |
|  744 |   -2.61e+004   |
|  745 |    1.03e+004   |
|  746 |    1.58e+004   |
|  747 |    1.58e+004   |
|  748 |   -2.75e+004   |
|  749 |    2.67e+003   |
|  750 |   -4.12e+004   |
|  751 |   -4.12e+004   |
|  752 |    1.04e+004   |
|  753 |    1.04e+004   |
|  754 |   -1.15e+005   |
|  755 |    3.96e+004   |
|  756 |    4.39e+004   |
|  757 |   -1.88e+004   |
|  758 |    1.04e+004   |
|  759 |    1.07e+004   |
|  760 |    1.07e+004   |
|  761 |   -2.77e+004   |
|  762 |    2.48e+003   |
|  763 |   -3.58e+004   |
|  764 |   -3.58e+004   |
|  765 |    1.04e+004   |
|  766 |    1.04e+004   |
|  767 |   -9.73e+004   |
|  768 |    3.25e+004   |
|  769 |    2.63e+004   |
|  770 |   -1.16e+004   |
|  771 |    1.04e+004   |
|  772 |    5.52e+003   |
|  773 |    5.52e+003   |
|  774 |   -2.76e+004   |
|  775 |    2.51e+003   |
|  776 |   -3.06e+004   |
|  777 |   -3.06e+004   |
|  778 |    1.04e+004   |
|  779 |    1.04e+004   |
|  780 |   -7.95e+004   |
|  781 |    2.37e+004   |
|  782 |    8.61e+003   |
|  783 |   -3.92e+003   |
|  784 |    9.87e+003   |
|  785 |    4.27e+002   |
|  786 |    4.27e+002   |
|  787 |   -2.77e+004   |
|  788 |    2.43e+003   |
|  789 |   -2.57e+004   |
|  790 |   -2.57e+004   |
|  791 |    9.87e+003   |
|  792 |    9.87e+003   |
|  793 |   -6.49e+004   |
|  794 |    3.55e+004   |
|  795 |   -1.01e+004   |
|  796 |    5.03e+003   |
|  797 |    2.03e+004   |
|  798 |   -4.75e+003   |
|  799 |   -4.75e+003   |
|  800 |   -2.63e+004   |
|  801 |    3.87e+003   |
|  802 |   -1.76e+004   |
|  803 |   -1.76e+004   |
|  804 |    2.03e+004   |
|  805 |    2.03e+004   |
|  806 |   -3.92e+004   |
|  807 |   -9.14e+004   |
|  808 |   -9.14e+004   |
|  809 |   -3.92e+004   |
|  810 |    2.48e+003   |
|  811 |   -3.12e+003   |
|  812 |    2.64e+004   |
|  813 |    5.66e+003   |
|  814 |    5.66e+003   |
|  815 |   -7.96e+004   |
|  816 |    2.12e+004   |
|  817 |   -2.89e+003   |
|  818 |   -3.56e+004   |
|  819 |   -3.25e+004   |
|  820 |    5.12e+004   |
